server,test,rps,responses,failures,replicas
Go-auth-srv1,1000/100,747,1000,0,1
Go-auth-srv1,1000/200,597,1000,0,1
Go-auth-srv1,1000/300,379,800,0,1
Go-auth-srv1,1000/400,388,800,0,1
Go-auth-srv1,1000/500,385,1000,0,1
Apache-srv1,1000/100,90,1000,0,1
Apache-srv1,1000/200,72,940,60,1
Apache-srv1,1000/300,50,539,361,1
Apache-srv1,1000/400,10,368,432,1
Apache-srv1,1000/500,39,398,602,1
Go-auth-srv2,1000/100,944,1000,0,2
Go-auth-srv2,1000/200,1243,1000,0,2
Go-auth-srv2,1000/300,695,800,0,2
Go-auth-srv2,1000/400,745,800,0,2
Go-auth-srv2,1000/500,730,1000,0,2
Apache-srv2,1000/100,110,1000,0,2
Apache-srv2,1000/200,104,1000,0,2
Apache-srv2,1000/300,115,788,112,2
Apache-srv2,1000/400,102,730,70,2
Apache-srv2,1000/500,110,788,222,2
Go-auth-srv4,1000/100,912,1000,0,4
Go-auth-srv4,1000/200,1401,1000,0,4
Go-auth-srv4,1000/300,981,800,0,4
Go-auth-srv4,1000/400,848,800,0,4
Go-auth-srv4,1000/500,1068,1000,0,4
Apache-srv4,1000/100,448,1000,0,4
Apache-srv4,1000/200,157,1000,0,4
Apache-srv4,1000/300,136,900,0,4
Apache-srv4,1000/400,101,800,0,4
Apache-srv4,1000/500,82,998,1,4
